LaTeXFormula, PlainFormula, gly, m
$$(e^{e^{e}})^{\sqrt a}).(a-136))^{1/2}ƛ_e$$, ((e**e**e)**(np.sqrt(a))*(a-136))**(1/2)*lambdabare, 13.813717718551707e+9, 1.3068786015953146e+26
$$(\Pi_{26}^2 ( ƛ_e /j)^{18} R_N /2)^{1/19}$$, (TSSPG**2*(lambdabare/j)**18*R_N/2)**(1/19), 13.814e+9, 1.306e+26
$$ƛ_e \Pi_{26}^{1/9}/(j+e)$$, lambdabare*TSSPG**(1/9)/(j+e), 13.813e+9, 1.306e+26
$$ƛ_e(a^a)^{5/38}$$, lambdabare*(a**a)**(5/38), 13.810835185201395e+9, 1.3066058928842593e+26 
$$137/(16 \times 136).g_3^a.ƛ_e^2/R_N$$, 137/(16*136)*(g_3**a)*lambdabare**2/R_N, 13.815e+9, 1.3069761742352677e+26 
$$R1(8/\sqrt(3a))^{1/7}$$, R1*(8/np.sqrt(3*a))**(1/7), 13.811862220123789e+9, 1.3067030578901262e+26 
$$ƛ_e.exp((e^{4e-1/a}-ln2(P^4/a^3 ))/2)^{1/2}$$, np.exp(np.sqrt((e**(4*e-1/a)-np.log(P**4/a**3)**2)/2))*lambdabare, 13.811692724518824e+9, 1.306718550184196e+26
$$ƛ_Fe(Pe^e)^2/\sqrt(pn)$$, lambdabar_F*e*(P*e**e)**2/np.sqrt(p*n), 13.812613107197082e+9, 1.306774097292284e+26
$$(ƛ_e^2/l_P)(j/16)^{16}( e^e )^2.d_e\sqrt(2)$$, (lambdabare**2/l_P)(j/16)**16( e**e )**2*d_e*np.sqrt(2), 13.812025973801315e+9, 1.3067153891523966e+26
$$3^{1/137}R_{GC}^{2/3}r_e^{1/3} /l_K$$, 3**(1/137)*R_GC**(2/3)*(lambdabare/a)**(4/3)/l_K/(constants.light_year*10**9), 13.812451316259656e+9, 1.306758790687765e+26 
$$((a/\sqrt(137)(4\pi F)^2)ƛ_e^4 l_{ph}^3(\lambda_{CMB}/l_P)^8 )^{1/7}$$, ((a/(np.sqrt(137)*(4*np.pi*F)**2))*(lambdabare**4)*(l_ph**3)*(lambdabar_cmb/l_P)**8)**(1/7), 13.806994095759556e+9, 1.3067153891523966e+26
$$R_N exp(-2/e^2 )$$, R_N*np.exp(-2/np.e**2), 13.811954112833234e+9, 1.3067117516116909e+26
$$2\beta ƛ_ej^{17}(4\pi)^2\sqrt(137)$$, 2*beta*lambdabare*(j**17)*(4*np.pi)**2*np.sqrt(137),  13.811992229686492e+9, 1.3067153577444422e+26
$$ƛ_e(3j^j/(2H)^{1/6} $$, lambdabare*(3*j**j/(2*H))**(1/6), 13.811992561668832e+9, 1.3067153891523966e+26
$$(\beta FP^{3/2}(n/p)^{7/2}/2\pi).ƛ_e$$, beta*F*P**(3/2)*(n/p)**(7/2)/(2*np.pi)*lambdabare, 13.811994619804961e+9, 1.3067155838671086e+26
$$2(l_K /F)^2 /ƛ_e$$, 2*(l_K/F)**2/lambdabare, 13.811976769267613e+9, 1.306713895075882e+26
$$(45ƛ_{CMB}^7 /4(p+5) λ_{CNB}^3 )^{1/2} /l_P$$, 45*lambdabar_cmb**7/(4*(p+5))*lambdabar_cnb**3)**0.5/l_P, 13.811975e+9, 1.306e+26
